# format: x, y, z, (trackId)+
413, -97.5, 1387.38, 4550
413, -94.311, 1059.17, 4550
413, -90.8915, 716.35, 4550
413, -79.4477, 398.092, 4550
413, -80.6944, 84.7235, 467
413, -68.9749, 59.1856, 4550
413, -77.5, 58.6442, 4550
413, -68.3594, 190.756, 1170
413, 18.0808, 807.507, 6402
413, 24.6576, 417.095, 413
413, 51.641, 279.537, 7352
413, 50.9847, 951.67, 6381
425, -99.2116, 1383.56, 4550
425, -102.5, 305.753, 450
425, -91.3827, 1055.08, 4550
425, -88.6102, 712.828, 4550
425, -81.2432, 89.2134, 467
425, -75.4582, 395.616, 4550
425, -68.327, 194.1, 1170
425, -63.4165, 52.7222, 4550
425, 20.9759, 798.025, 6402
425, 28.1684, 431.258, 413
425, 42.1798, 282.182, 7352
425, 50.7134, 960.311, 6381
437, -97.4794, 1379.91, 4550
437, -102.5, 314.217, 450
437, -89.8471, 1051.53, 4550
437, -85.9834, 708.35, 4550
437, -82.44, 89.3752, 467
437, -70.6571, 391.037, 4550
437, -69.2862, 201.78, 1170
437, -59.1431, 49.8953, 4550
437, 24.3148, 788.275, 6402
437, 33.397, 285.639, 7352
437, 30.9763, 443.391, 413
437, 49.782, 969.941, 6381
449, -107.5, 324.386, 450
449, -96.5501, 1377.47, 4550
449, -89.0382, 1047.43, 4550
449, -85.1354, 706.96, 4550
449, -83.684, 92.8107, 467
449, -68.5665, 387.866, 4550
449, -70.0038, 207.712, 1170
449, -55.9653, 46.7482, 4550
449, 30.5497, 286.701, 7352
449, 27.9687, 776.231, 6402
449, 34.7249, 457.473, 413
449, 48.5804, 977.978, 6381
461, -112.377, 1270.43, 5421
461, -111.756, 334.565, 450
461, -96.33, 1373.43, 4550
461, -89.005, 1043.72, 4550
461, -84.6957, 702.101, 4550
461, -84.1068, 94.7829, 467
461, -66.1821, 384.665, 4550
461, -68.3225, 217.218, 1170
461, -52.3695, 43.0064, 4550
461, 16.0664, 290.469, 7352
461, 30.8491, 767.958, 6402
461, 37.1347, 466.812, 413
461, 47.3984, 986.737, 6381
473, -107.476, 1267.02, 5421
473, -112.162, 342.313, 450
473, -96.7277, 1369.21, 4550
473, -89.7996, 1040.45, 4550
473, -85.069, 97.8171, 467
473, -84.8265, 699.943, 4550
473, -65.1837, 380.537, 4550
473, -69.504, 219.697, 1170
473, -50.7079, 39.157, 4550
473, 5.46987, 293.173, 7352
473, 34.2596, 759.48, 6402
473, 40.7961, 480.052, 413
473, 45.2087, 997.607, 6381
485, -116.464, 351.818, 450
485, -98.2665, 1365.81, 4550
485, -97.4239, 1263.03, 5421
485, -90.4525, 1037.11, 4550
485, -85.7181, 696.316, 4550
485, -85.2867, 100.028, 467
485, -68.5068, 228.637, 1170
485, -64.5013, 378.807, 4550
485, -49.7879, 35.7031, 4550
485, -6.38596, 296.22, 7352
485, 39.5664, 745.408, 6402
485, 44.257, 1005.92, 6381
485, 44.9344, 492.66, 413
497, -117.099, 359.441, 450
497, -100.203, 1362.02, 4550
497, -90.7248, 1259.81, 5421
497, -92.5008, 1033.88, 4550
497, -87.5214, 693.947, 4550
497, -85.835, 102.747, 467
497, -67.8978, 234.432, 1170
497, -64.2531, 375.693, 4550
497, -49.2327, 31.3892, 4550
497, -19.6157, 299.856, 7352
497, 42.5405, 1014.48, 6381
497, 41.4553, 741.145, 6402
497, 49.9033, 507.998, 413
509, -120.687, 369.079, 450
509, -103.608, 1357.77, 4550
509, -95.5108, 1028.73, 4550
509, -89.7704, 690.915, 4550
509, -86.65, 104.423, 467
509, -74.5675, 1254.2, 5421
509, -64.5908, 372.032, 4550
509, -67.8764, 238.653, 1170
509, -50.3505, 29.0699, 4550
509, -32.6738, 303.5, 7352
509, 40.2852, 1023, 6381
509, 46.5193, 729.619, 6402
509, 52.1607, 517.347, 413
521, -123.093, 379.251, 450
521, -107.963, 1353.64, 4550
521, -99.5172, 1025.72, 4550
521, -93.1247, 686.664, 4550
521, -86.6378, 108.09, 467
521, -66.1306, 1251.25, 5421
521, -66.9423, 368.011, 4550
521, -67.7981, 244.477, 1170
521, -56.1606, 308.892, 7352
521, -50.3616, 23.2369, 4550
521, 38.0797, 1034.83, 6381
521, 51.8581, 718.243, 6402
521, 56.5689, 532.468, 413
533, -123.781, 384.284, 450
533, -111.317, 1350.95, 4550
533, -104.85, 1021.18, 4550
533, -98.9327, 684.319, 4550
533, -73.284, 313.546, 7352
533, -61.0328, 310.595, 7352
533, -87.8807, 110.067, 467
533, -70.3464, 365.456, 4550
533, -68.1725, 253.152, 1170
533, -51.3478, 1246.52, 5421
533, -52.3908, 20.2597, 4550
533, 35.892, 1044.72, 6381
533, 55.0663, 709.496, 6402
533, 60.1624, 542.484, 413
545, -126.454, 395.44, 450
545, -119.509, 1346, 4550
545, -110.033, 1017.05, 4550
545, -98.4627, 319.171, 7352
545, -84.3649, 315.87, 7352
545, -103.067, 680.994, 4550
545, -87.3831, 113.373, 467
545, -72.9232, 362.261, 4550
545, -66.6656, 258.499, 1170
545, -54.2146, 16.2015, 4550
545, -37.5403, 1242.08, 5421
545, 33.3309, 1052.6, 6381
545, 61.7779, 697.509, 6402
545, 65.3664, 558.706, 413
557, -129.096, 404.951, 450
557, -122.697, 324.954, 7352
557, -104.652, 321.205, 7352
557, -124.443, 1343.56, 4550
557, -115.68, 1014.4, 4550
557, -108.851, 678.339, 4550
557, -87.4988, 115.713, 467
557, -77.6872, 358.716, 4550
557, -65.2581, 265.841, 1170
557, -58.9308, 13.7934, 4550
557, -23.8701, 1237.01, 5421
557, 31.5251, 1061.8, 6381
557, 65.3756, 689.244, 6402
557, 69.2192, 568.688, 413
569, -133.989, 1338.31, 4550
569, -129.394, 407.018, 450
569, -140, 327.3, 7352
569, -125.753, 1008.45, 4550
569, -116.147, 673.904, 4550
569, -87.2233, 116.102, 467
569, -81.3762, 355.212, 4550
569, -64.7434, 273.073, 1170
569, -62.6244, 10.3245, 4550
569, -4.88289, 1231.36, 5421
569, 29.3523, 1068.95, 6381
569, 71.0586, 678.343, 6402
569, 74.0397, 581.756, 413
581, -140.542, 1334.55, 4550
581, -135.167, 1004.38, 4550
581, -142.5, 327.954, 7352
581, -131.643, 421.502, 450
581, -123.244, 670.298, 4550
581, -88.7836, 351.8, 4550
581, -87.8632, 119.465, 467
581, -67.6933, 5.84515, 4550
581, -63.8801, 278.947, 1170
581, 12.4544, 1225.97, 5421
581, 25.7959, 1079.04, 6381
581, 76.0246, 668.103, 6402
581, 78.8231, 595.899, 413
581, 142.5, 598.599, 7352
593, -147.5, 1331.47, 4550
593, -144.688, 1000.09, 4550
593, -134.53, 666.633, 4550
593, -132.908, 426.703, 450
593, -93.9214, 348.709, 4550
593, -88.4521, 121.716, 467
593, -73.5321, 3.03556, 4550
593, -63.2937, 282.84, 1170
593, 30.943, 1220.66, 5421
593, 41.5707, 1217.82, 5421
593, 22.6512, 1090.74, 6381
593, 82.4368, 658.287, 6402
593, 84.9995, 609.277, 7352
593, 140.663, 599.407, 7352
605, -150, 662.646, 4550
605, -135.509, 437.153, 450
605, -104.415, 344.069, 4550
605, -87.1648, 124.524, 467
605, -61.2389, 291.582, 1170
