# format: x, y, z, (trackId)+
413, -55.0003, 1296.33, 7773
413, -46.8154, 632.492, 7698
413, 3.07696, 1459.33, 5717
413, 0.392666, 971.507, 6298
413, 9.94283, 812.078, 6531
425, -55.1607, 1295.9, 7773
425, -49.2775, 634.91, 7698
425, 2.05484, 970.65, 6298
425, 4.14447, 1462.53, 5717
425, 8.95768, 812.362, 6531
437, -58.5462, 1293.23, 7773
437, -52.5049, 637.851, 7698
437, 3.14403, 968.748, 6298
437, 6.04612, 1466.78, 5717
437, 7.8088, 812.769, 6531
449, -60.7902, 1290.86, 7773
449, -55.2847, 640.338, 7698
449, 4.49508, 967.136, 6298
449, 6.89874, 813.134, 6531
449, 8.10395, 1473.17, 5717
461, -63.1137, 1288.79, 7773
461, -58.2078, 643.419, 7698
461, 5.66899, 813.551, 6531
461, 6.35377, 965.267, 6298
461, 9.85954, 1477.13, 5717
473, -65.065, 1286.67, 7773
473, -61.1648, 645.599, 7698
473, 4.40222, 813.983, 6531
473, 7.48544, 963.555, 6298
473, 11.5465, 1481.77, 5717
485, -67.5144, 1284.87, 7773
485, -64.7456, 648.214, 7698
485, 3.39121, 814.401, 6531
485, 9.87534, 962.288, 6298
485, 13.2551, 1485.72, 5717
497, -68.7088, 651.489, 7698
497, -69.7106, 1283.66, 7773
497, 1.66707, 814.994, 6531
497, 12.0443, 960.325, 6298
497, 15.2966, 1491.93, 5717
509, -72.4358, 1280.8, 7773
509, -70.4251, 653.193, 7698
509, 0.397167, 815.454, 6531
509, 14.5398, 959.248, 6298
509, 17.6564, 1495.92, 5717
521, -74.8279, 655.735, 7698
521, -74.7483, 1278.71, 7773
521, -0.868492, 815.735, 6531
521, 15.7056, 957.796, 6298
521, 19.515, 1499.94, 5717
533, -77.3547, 658.737, 7698
533, -77.3076, 1277.07, 7773
533, -2.66035, 815.853, 6531
533, 18.9036, 956.061, 6298
533, 21.5111, 1505.6, 5717
545, -79.8263, 1274.55, 7773
545, -81.0965, 661.46, 7698
545, -4.32826, 816.656, 6531
545, 24.0158, 1510.05, 5717
545, 20.9188, 954.532, 6298
557, -85.4608, 665.143, 7698
557, -82.3001, 1273.1, 7773
557, -6.42701, 816.82, 6531
557, 23.5212, 952.261, 6298
557, 25.3998, 1512.58, 5717
569, -89.0821, 667.63, 7698
569, -85.1246, 1270.67, 7773
569, -7.71876, 817.193, 6531
569, 28.2399, 1519.58, 5717
569, 26.9373, 949.737, 6298
581, -92.8315, 670.285, 7698
581, -87.659, 1268.47, 7773
581, -9.57438, 817.808, 6531
581, 29.5862, 949.213, 6298
581, 29.8287, 1523.07, 5717
593, -96.7388, 672.847, 7698
593, -90.1253, 1266.97, 7773
593, -11.7572, 817.832, 6531
593, 32.3461, 1528.01, 5717
593, 32.7719, 947.919, 6298
